task_id,Education,Sex,exp,speed,work_duration,keytype_changed,mouseclick_button,mousemove_distance,keytype_changed_time,mouseclick_button_time,mousemove_distance_time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,error
57a2997ee2013f0c5a5d9f33,1,1,4.717808219,0.65671777,88.318,0.517241379,0.068965517,19.72259245,0.339681605,0.045290881,12.95217693,0.086206897,0,0,0,0,0,0,0.017241379,0,0,0.017241379,0,0.034482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017241379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017241379,0,0,0,0,0,0.034482759,0.051724138,0,0,0.017241379,0,0,0,0,0,0,0,0,0.086206897,0.172413793,0,0,0.051724138,0,0.034482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0,0,0.017241379,0,0,0,0.051724138,0,0,0.172413793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017241379,0,0,0,0,0,0.017241379,0.034482759,0,0,0,0,0,1
57a2997ee2013f0c5a5d9f34,1,1,4.717808219,2.00628053,34.392,0.217391304,0.376811594,7.173392884,0.436147941,0.755989765,14.39183848,0.391304348,0,0,0,0,0,0,0.028985507,0,0,0.014492754,0,0,0,0.15942029,0,0,0,0,0,0,0,0,0,0.014492754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014492754,0.014492754,0,0,0,0,0,0.014492754,0,0,0,0,0,0.014492754,0.086956522,0,0,0.014492754,0.014492754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028985507,0,0,0,0,0,0,0,0,0,0.115942029,0,0.014492754,0,0.028985507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014492754,0,0,0
57a2997ee2013f0c5a5d9f35,1,1,4.717808219,2.628755365,18.64,0.346938776,0.06122449,22.95849496,0.912017169,0.160944207,60.35226679,0.06122449,0,0,0,0,0,0,0.040816327,0,0,0.020408163,0,0,0.020408163,0.265306122,0,0,0,0,0,0,0,0,0,0.040816327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020408163,0,0,0,0.020408163,0,0,0.020408163,0,0,0,0,0,0.020408163,0.12244898,0,0,0.020408163,0.020408163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040816327,0,0,0,0,0,0,0.020408163,0,0,0.163265306,0,0,0,0.06122449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57a2997ee2013f0c5a5d9f36,1,1,4.717808219,2.714475096,15.841,0.372093023,0.093023256,8.415717851,1.010037244,0.252509312,22.84425652,0.069767442,0,0,0,0,0,0,0.046511628,0,0,0,0,0,0.023255814,0.11627907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814,0,0,0,0,0,0,0.023255814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814,0,0,0,0.023255814,0,0,0,0,0,0,0,0,0.023255814,0.139534884,0,0,0.046511628,0.023255814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046511628,0,0,0.023255814,0,0,0,0.023255814,0,0,0.23255814,0,0.023255814,0,0.023255814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814,0,0,1
57a2997ee2013f0c5a5d9f37,1,1,4.717808219,2.840191871,15.844,0.333333333,0.155555556,2.868044458,0.946730623,0.441807626,8.145796555,0.133333333,0,0,0,0,0,0,0.022222222,0,0,0,0,0,0.022222222,0.155555556,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0,0,0.022222222,0,0,0,0,0,0,0,0,0.022222222,0.111111111,0,0,0.044444444,0.022222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0,0,0,0,0,0.044444444,0,0,0.222222222,0,0.022222222,0,0.022222222,0,0,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0,0,0,0,0,0,0,0.022222222,0,0,0
57a2997ee2013f0c5a5d9f38,1,1,4.717808219,3.734733017,9.907,0.432432432,0.108108108,6.811904152,1.615019681,0.40375492,25.44064335,0.054054054,0,0,0,0,0,0,0.054054054,0,0,0.027027027,0,0,0.027027027,0.135135135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027027027,0,0,0,0.027027027,0,0,0.054054054,0,0,0,0,0,0.027027027,0.108108108,0,0,0.027027027,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027027027,0,0,0,0,0,0,0.054054054,0,0,0.216216216,0,0.027027027,0,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027027027,0,0,1
57a2997ee2013f0c5a5d9f39,1,1,4.717808219,2.688461125,18.598,0.44,0.16,5.42288329,1.182922895,0.43015378,14.57921091,0.14,0,0,0,0,0,0,0.04,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0.06,0.18,0,0,0.04,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.02,0,0,0.02,0.02,0,0,0.16,0,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,1
57a2997ee2013f0c5a5d9f3a,1,1,4.717808219,0.555004955,75.675,0.380952381,0.047619048,13.94159398,0.211430459,0.026428808,7.737653745,0.071428571,0,0,0,0,0,0,0.047619048,0,0,0.023809524,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0.023809524,0,0,0.023809524,0,0,0,0,0,0.023809524,0.119047619,0,0,0.023809524,0.023809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0.023809524,0,0,0.214285714,0,0.023809524,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0
57a2997ee2013f0c5a5d9f3b,1,1,4.717808219,2.382438028,17.629,0.357142857,0.142857143,7.259340046,0.850870724,0.34034829,17.29492779,0.142857143,0,0,0,0,0,0,0.047619048,0,0,0.023809524,0,0,0.023809524,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0.023809524,0.023809524,0,0,0,0,0,0.023809524,0.023809524,0,0,0,0,0.047619048,0.261904762,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0.023809524,0,0,0.142857143,0,0.023809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,1
57a2997ee2013f0c5a5d9f3c,1,1,4.717808219,1.005306269,114.393,0.208695652,0.417391304,37.74176751,0.209803047,0.419606094,37.94203547,0.504347826,0,0,0.017391304,0,0,0,0.043478261,0,0,0,0,0,0.008695652,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008695652,0,0,0,0,0,0.008695652,0.008695652,0,0,0,0,0,0,0,0,0,0,0,0.017391304,0.191304348,0,0,0.017391304,0.008695652,0.017391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017391304,0,0,0,0,0,0,0,0,0,0.034782609,0,0,0,0.008695652,0,0,0,0,0,0,0,0,0,0,0,0.017391304,0,0,0,0,0,0,0,0,0,0,0,0,1
